OOOEEEEEE, -1
OOOOOEEEE, -1
OOOEEEEEE, -1
OOOEEEEEE, -1
OOOOEEEEE, -1
OOOEEEEEE, -1
OOOOOOEEE, -1
OOXEOOXXX, 1
OXXXXEOOO, -1
XOXOOXXOO, -1
OOOXEEEXE, -1
EEXOOXEOX, 1
EEXEXOXEO, 1
EEEXXXOEO, 1
XXXEEEOOE, 1
XEEXEEXOO, 1
OXOOXXEXE, 1
EXEOXOEXE, 1
OOXXXEXOE, 1
XOEEOXXOE, -1
OXXOEEOEE, -1
XOOXEEXEO, 1
XXXEEOOEE, 1
EOXEXEXOE, 1
XOEOXOEXX, 1
XXXEEOOEE, 1
EEXEXOXEO, 1
OOOXEXEXE, -1
XXOEOEOEE, -1
OOXXOXEEO, -1
OXOXXOOXE, 1
XXXEEOOOX, 1
EXEOXOEXE, 1
OEXXXOXEO, 1
EOXEEXEOX, 1
EOXEEXEOX, 1
EOXEXEXOE, 1
OXOEXEEXE, 1
EXOXXOXOO, -1
EEEXXEOOO, -1
XOEOXEOEX, 1
OOEXXXOXE, 1
OXEOOXOXX, -1
XXOEXOEOO, -1
XEOOOXOXE, -1
XOOOXXOXO, 0
XOOEOXOXE, -1
OOOEEXEXE, -1
OEXXOEEEO, -1
OEXOEEOXE, -1
EOXEEXOOX, 1
OXEOEXOEX, -1
OXEXXEOOO, -1
OXEEXOOXE, 1
EOEOEEXXX, 1
XXXEEEOEO, 1
XXXEEOEOE, 1
OXEXOEXEO, -1
OXEOXEOEE, -1
XOEEXEOOX, 1
EXEEXEOXO, 1
XOOOXXEEX, 1
EXOXEOXEO, -1
EEEXXEOOO, -1
EXEEXOOXO, 1
EOXXOEEOX, -1
XOOOXXOXO, 0
OXEOEEOEX, -1
EEXEXEOOO, -1
EXOXOOOEX, -1
EEOEXOXEO, -1
OEXOEXEOX, 1
OXEOOEXXX, 1
XXXEOEOEE, 1
XOEXOEEOX, -1
OOOEEEEXX, -1
EXOEOXOXO, -1
XEOXOOOEX, -1
EEOXEOXEO, -1
EEXOOOOXX, -1
OXOXOOXOX, 0
EEEEXXOOO, -1
OXXOOOXOX, -1
EEOXOEOEX, -1
OOXEOXEXO, -1
OOOEXXXOE, -1
XOXOOOXXO, -1
XXXEEOOOE, 1
XEOXEOEXO, -1
OXEEOEEXO, -1
OOOEXEXEE, -1
OEXEOEXEO, -1
OXXEOEXOO, -1
OEEXOEEXO, -1
EEOEEOXXO, -1
OEEOEEOXX, -1
EEXXEEOOO, -1
XEOEEOEXO, -1
EXEXEEOOO, -1
XOOEOEOXX, -1
XXXEXEEXE, 1
XXXEXEEXE, 1
XXXXXXEEE, 1
XXXEXEEXE, 1
XXXEXEEEE, 1
XXXXXEEEE, 1
XXXXXEEEE, 1
OXEOXEOEX, -1
EXEOOOXEE, -1
XXOOXOXOO, -1
EEOXOEOXE, -1
XXXOOEEEO, 1
OXEXOEXEO, -1
XOEOXEOEX, 1
XEEEXEOOX, 1
EEOXXOXEO, -1
EEXEEXOOO, -1
OXEXOEEEO, -1
EEOXOXOEE, -1
OOXOEXEEX, 1
XOOEXEOXX, 1
XOEXOEXXO, 1
OOXXXXEEO, 1
OXEEXEEXO, 1
EXEEXEOXO, 1
XOEEOXEOX, -1
OXXOOXEEO, -1
OXEOEXOXO, -1
OXEXXEOOO, -1
OOXXXOXOE, 1
OOXEEOXXX, 1
XEEXOOXEE, 1
OOOXEXXEE, -1
XOEOXEOEX, 1
XEEXXOOOX, 1
XEEXEXOOO, -1
OOEXXXOEE, 1
OEOXXXEEE, 1
EEEXXXOOE, 1
XOOEOXOXX, -1
XOXOXOOEX, 1
XXXOEEEOE, 1
XEOEXEOEX, 1
XEOEOEOXX, -1
OXEOXOEXE, 1
XXXXOEEOO, 1
OXXOXXXOO, 1
EOXXOXEOE, -1
XOEXEOXEO, 1
XOEXEOXEE, 1
OXEEXOOXX, 1
OEEEOEXXX, 1
EEEOOEXXX, 1
OEXOXEXEE, 1
XOXXOEEOE, -1
XXXOOEEEO, 1
XXXOEEEEO, 1
XEOOXOXXO, -1
OEEEOXEXO, -1
XXOOOXXOO, 0
XOEEXEOOX, 1
EXOXEOXEO, -1
OXXOEEOEE, -1
OEXOEEOEX, -1
OXXOOOEEX, -1
OOXEOXEEX, 1
EXEOXEOXE, 1
XXXEOOEXO, 1
EEOEEOXXX, 1
EEEXXXOEO, 1
XEEOXOEEX, 1
EOEXOXXOE, -1
OXOXXOOOX, 0
OOOEEXXOX, -1
XXOXOOEEO, -1
OEEOXXOEE, -1
OEEXXXEOO, 1
XEEXEEXOO, 1
OEEEEOXXX, 1
OOXXXOXOX, 1
XEOXOEOEX, -1
EOXOEXEOX, 1
EXEOXEOXE, 1
OOXEEXEEX, 1
OEXEXOXOX, 1
EOXEXEXOE, 1
OXOEXEEXE, 1
EEEEOOXXX, 1
EXXOOOEXE, -1
EXOOXOEXE, 1
OEEXXXEOE, 1
OXXOXOXEE, 1
EXXEEXOOO, -1
XEOXOEOEE, -1
EEXEEXOOO, -1
EEEOOOXEX, -1
EXEXEEOOO, -1
EXXEEEOOO, -1
EXEEXEOOO, -1
EEOXOEOXE, -1
EXEOOOXEE, -1
OEXOEEOEX, -1
EOXXEXOOO, -1
OXEOOOXEX, -1
OEEOEXOEX, -1
EEOEXOXEO, -1
XEEXEEOOO, -1
EEOXOEOXE, -1
OEXOOXEEX, 1
XXXOEEEOE, 1
XEOXOEXEE, 1
OEXXOXOEX, 1
OEEEEOXXX, 1
OOOEXXEXE, -1
OEEOEXOEX, -1
OXOOXXXOO, 0
OXOOXXXOO, 0
EXOEOEOEX, -1
XOXOXOOXO, 0
OOOXOXXEE, -1
EXOEXOEEO, -1
EEXEXOXOO, 1
XEEEXEOOX, 1
XXOOOXOXE, -1
OXEEXEOXO, 1
OXXOOXXEO, -1
XEEOXEOOX, 1
XOOOXXOXX, 1
XEOEXOEEX, 1
EEXOOXEEX, 1
XEEEXOOEX, 1
XOOEXEEEX, 1
OXOXOEOXX, -1
XEOXOEOEE, -1
OEXOEEOEX, -1
XXEOOOEEE, -1
XOOOOXXXO, 0
OXEOXEOEE, -1
OOOEEEEXX, -1
OEEOEXOXE, -1
EEOOOEXXX, 1
XEOXXOOEX, 1
OXXXOOXOX, 0
OXXXOEEEO, -1
EEOXOEOXE, -1
EOEXOOXOX, -1
OXEOXEOEE, -1
OOOEXXOXE, -1
EXOEOXOEE, -1
OEEXOEXEO, -1
XEXOXEOOO, -1
EXEOOOEXE, -1
EEXOXOXEO, 1
XXXOEEOEE, 1
OEXEXEXOE, 1
EXOOXXEXO, 1
XOXEEXOOX, 1
OEEXXXEEO, 1
EEOXOXOEX, -1
OOOEEXXEE, -1
XOXOOXOXO, 0
OXOOOXXOX, 0
OXXEOEEEO, -1
EEOXEOXEO, -1
OEXOEXEOX, 1
XEEEXOEOX, 1
OEEOEEXXX, 1
EXXOXOXEO, 1
XEOXXOOEX, 1
XOXOOXOXX, 1
XOXOXXOXO, 0
OEEXXXEOE, 1
OEXEEXEOX, 1
XXOOXOEXE, 1
XEXOOOEEX, -1
EXEOOOEEX, -1
OOOEXOXEX, -1
EXOOOXOXE, -1
XOOXEXXOO, 1
EOXEOEXOX, -1
OOOXXEEEE, -1
EEXOOOXEE, -1
XXOOXOXOO, -1
XEOXOOXEE, 1
EXEOOOEXX, -1
XXOEOXOEO, -1
OEEOEXOXE, -1
OOOEXEXXO, -1
OEXOEXOEE, -1
OEEOXXOXO, -1
OOOOXXEEX, -1
EXOEXOEEO, -1
EXEOOOEEX, -1
OEEOEEOXX, -1
OXOXOOXOX, 0
OOOOXEXEX, -1
OXEEOXEEO, -1
OEXXOEEEO, -1
EOOEEOXXX, 1
EXEOXOEXE, 1
XOEOXEEEX, 1
OXOXOXOEX, -1
OOOXEEEXE, -1
EOXOXOXXO, 1
XXXOOEEEE, 1
OEXEEXEOX, 1
XEEXEEXOO, 1
OXEOXEEXE, 1
EXOEXOXEO, -1
EOXXOEOOX, -1
EEXOOXEOX, 1
EXXOOOXOX, -1
OXOEOXEXO, -1
OOXXXOOXO, 0
OOXEOXEEX, 1
EXEXXEOOO, -1
OOOEXEOXX, -1
OOOOXXEXE, -1
EOEXOXEOE, -1
OEXEOEXEO, -1
XOOEXOEXO, -1
XXXEOOEEO, 1
OXOOOXXXX, 1
EXEEXOOXE, 1
OEEXOXEXO, -1
OXOXXOOOX, 0
OEOOEXOXX, -1
XOEOOXEOX, -1
XEOEOEOXE, -1
XOEXOOXEE, 1
OOXXOXEEX, 1
OOOEXXEXE, -1
