EEEEEEEEX, 1, -9
EEEEEEOEX, -1, -9
XEEEEEOEX, 1, -9
XEOEEEOEX, -1, -9
XEOEXEOEX, 1, 1
EEEEXEEEE, 1, -9
EOEEXEEEE, -1, -9
EOEEXEEXE, 1, -9
EOEEXEOXE, -1, -9
EOEEXXOXE, 1, -9
EOEOXXOXE, -1, -9
EOXOXXOXE, 1, -9
OOXOXXOXE, -1, -1
OEEEEEEEE, -1, -9
OEEEEXEEE, 1, -9
OEEEEXEOE, -1, -9
OEEEEXEOX, 1, -9
OEOEEXEOX, -1, -9
OEOEEXXOX, 1, -9
OOOEEXXOX, -1, -1
EEEEEOEEE, -1, -9
EEEXEOEEE, 1, -9
EEEXEOOEE, -1, -9
XEEXEOOEE, 1, -9
XEEXEOOOE, -1, -9
XEEXEOOOX, 1, -9
XOEXEOOOX, -1, -9
XOEXXOOOX, 1, 1
EEEEEEEXE, 1, -9
OEEEEEEXE, -1, -9
OEXEEEEXE, 1, -9
OEXEEEEXO, -1, -9
OEXXEEEXO, 1, -9
OEXXOEEXO, -1, -1
EEEOEEEEE, -1, -9
EXEOEEEEE, 1, -9
EXEOEEOEE, -1, -9
EXEOEEOXE, 1, -9
OXEOEEOXE, -1, -1
EEEOEEEEE, -1, -9
EEEOEEXEE, 1, -9
EEEOEEXOE, -1, -9
EEEOEEXOX, 1, -9
EEEOOEXOX, -1, -9
EEEOOXXOX, 1, -9
EOEOOXXOX, -1, -1
EEEEEEEEO, -1, -9
EEXEEEEEO, 1, -9
EEXEOEEEO, -1, -9
EEXXOEEEO, 1, -9
OEXXOEEEO, -1, -1
EEEOEEEEE, -1, -9
EXEOEEEEE, 1, -9
OXEOEEEEE, -1, -9
OXEOEXEEE, 1, -9
OXEOEXOEE, -1, -1
EEEEEEEOE, -1, -9
XEEEEEEOE, 1, -9
XEOEEEEOE, -1, -9
XEOEEXEOE, 1, -9
XOOEEXEOE, -1, -9
XOOEEXEOX, 1, -9
XOOEOXEOX, -1, -1
EEEEEEOEE, -1, -9
EEEEEEOXE, 1, -9
EEEEEEOXO, -1, -9
EEEXEEOXO, 1, -9
OEEXEEOXO, -1, -9
OEEXXEOXO, 1, -9
OEOXXEOXO, -1, -9
OXOXXEOXO, 1, 1
EEEEXEEEE, 1, -9
EEOEXEEEE, -1, -9
EEOEXEEXE, 1, -9
EEOEXOEXE, -1, -9
EXOEXOEXE, 1, 1
EEEEEXEEE, 1, -9
EEOEEXEEE, -1, -9
XEOEEXEEE, 1, -9
XEOEEXEEO, -1, -9
XEOEXXEEO, 1, -9
XEOEXXEOO, -1, -9
XEOXXXEOO, 1, 1
EEEEEXEEE, 1, -9
OEEEEXEEE, -1, -9
OEEEEXXEE, 1, -9
OEEEEXXEO, -1, -9
OEEEEXXXO, 1, -9
OEEEOXXXO, -1, -1
OEEEEEEEE, -1, -9
OEEEEXEEE, 1, -9
OEEOEXEEE, -1, -9
OEEOEXXEE, 1, -9
OEOOEXXEE, -1, -9
OEOOXXXEE, 1, -9
OOOOXXXEE, -1, -1
EEEOEEEEE, -1, -9
EEEOXEEEE, 1, -9
EOEOXEEEE, -1, -9
EOEOXXEEE, 1, -9
EOEOXXEEO, -1, -9
EOEOXXEXO, 1, -9
OOEOXXEXO, -1, -9
OOXOXXEXO, 1, -9
OOXOXXOXO, -1, -1
EEOEEEEEE, -1, -9
EEOEXEEEE, 1, -9
EOOEXEEEE, -1, -9
EOOEXEEXE, 1, -9
OOOEXEEXE, -1, -1
EEEEEEOEE, -1, -9
EEXEEEOEE, 1, -9
EEXEEEOEO, -1, -9
EEXEEXOEO, 1, -9
EEXEEXOOO, -1, -1
OEEEEEEEE, -1, -9
OEEXEEEEE, 1, -9
OEEXEEEEO, -1, -9
OEEXXEEEO, 1, -9
OEEXXOEEO, -1, -9
OXEXXOEEO, 1, -9
OXOXXOEEO, -1, -1
EEEEEEEOE, -1, -9
EEEEEEXOE, 1, -9
EOEEEEXOE, -1, -9
EOXEEEXOE, 1, -9
EOXEOEXOE, -1, -1
EEEOEEEEE, -1, -9
XEEOEEEEE, 1, -9
XEEOEOEEE, -1, -9
XXEOEOEEE, 1, -9
XXEOOOEEE, -1, -1
EEEEOEEEE, -1, -9
EEXEOEEEE, 1, -9
EEXOOEEEE, -1, -9
EXXOOEEEE, 1, -9
EXXOOOEEE, -1, -1
EEEEOEEEE, -1, -9
EEEEOXEEE, 1, -9
EEOEOXEEE, -1, -9
EXOEOXEEE, 1, -9
EXOEOXOEE, -1, -1
EOEEEEEEE, -1, -9
EOEEEEEXE, 1, -9
EOEEOEEXE, -1, -9
EOEEOEXXE, 1, -9
EOOEOEXXE, -1, -9
EOOEOEXXX, 1, 1
EXEEEEEEE, 1, -9
EXEEOEEEE, -1, -9
EXXEOEEEE, 1, -9
OXXEOEEEE, -1, -9
OXXEOXEEE, 1, -9
OXXEOXEEO, -1, -1
EEEEEEEEO, -1, -9
EXEEEEEEO, 1, -9
EXEEEEOEO, -1, -9
EXXEEEOEO, 1, -9
EXXEEEOOO, -1, -1
EEEOEEEEE, -1, -9
EEEOEEXEE, 1, -9
EEEOEEXEO, -1, -9
EXEOEEXEO, 1, -9
EXEOEOXEO, -1, -9
XXEOEOXEO, 1, -9
XXOOEOXEO, -1, -1
EEOEEEEEE, -1, -9
XEOEEEEEE, 1, -9
XOOEEEEEE, -1, -9
XOOEEXEEE, 1, -9
XOOEOXEEE, -1, -9
XOOEOXEEX, 1, -9
XOOEOXOEX, -1, -1
EEOEEEEEE, -1, -9
EEOXEEEEE, 1, -9
EEOXEEOEE, -1, -9
XEOXEEOEE, 1, -9
XEOXOEOEE, -1, -1
EEEEEEEOE, -1, -9
EEEEEEEOX, 1, -9
EEEOEEEOX, -1, -9
EEEOEEXOX, 1, -9
EEEOOEXOX, -1, -9
EEEOOXXOX, 1, -9
EOEOOXXOX, -1, -1
EEOEEEEEE, -1, -9
EEOEEEEEX, 1, -9
EEOEOEEEX, -1, -9
EEOEOXEEX, 1, -9
EEOEOXOEX, -1, -1
EEEEEOEEE, -1, -9
EEEXEOEEE, 1, -9
EEOXEOEEE, -1, -9
EXOXEOEEE, 1, -9
EXOXEOEEO, -1, -1
EEEOEEEEE, -1, -9
EEEOEEEXE, 1, -9
EOEOEEEXE, -1, -9
EOEOEEEXX, 1, -9
EOEOOEEXX, -1, -9
EOEOOEXXX, 1, 1
EEXEEEEEE, 1, -9
EEXEEEOEE, -1, -9
EEXXEEOEE, 1, -9
OEXXEEOEE, -1, -9
OEXXEXOEE, 1, -9
OEXXEXOEO, -1, -9
OEXXXXOEO, 1, 1
XEEEEEEEE, 1, -9
XEOEEEEEE, -1, -9
XEOEEEEEX, 1, -9
XOOEEEEEX, -1, -9
XOOEXEEEX, 1, 1
EEEEEEEEX, 1, -9
OEEEEEEEX, -1, -9
OEEEEEXEX, 1, -9
OEEEEOXEX, -1, -9
OEEEEOXXX, 1, 1
EXEEEEEEE, 1, -9
OXEEEEEEE, -1, -9
OXEXEEEEE, 1, -9
OXEXEOEEE, -1, -9
OXEXEOXEE, 1, -9
OXEXEOXEO, -1, -9
OXEXEOXXO, 1, -9
OXOXEOXXO, -1, -1
EEEEEEOEE, -1, -9
EEEEEXOEE, 1, -9
EEEEOXOEE, -1, -9
EEEXOXOEE, 1, -9
EEOXOXOEE, -1, -1
OEEEEEEEE, -1, -9
OEEEXEEEE, 1, -9
OEOEXEEEE, -1, -9
OEOEXEXEE, 1, -9
OOOEXEXEE, -1, -1
OEEEEEEEE, -1, -9
OXEEEEEEE, 1, -9
OXEOEEEEE, -1, -9
OXEOEEXEE, 1, -9
OXEOEEXEO, -1, -9
OXEOXEXEO, 1, -9
OXOOXEXEO, -1, -9
OXOOXEXXO, 1, 1
EEEEEEEXE, 1, -9
EEEOEEEXE, -1, -9
EEXOEEEXE, 1, -9
EEXOEEEXO, -1, -9
XEXOEEEXO, 1, -9
XOXOEEEXO, -1, -9
XOXOEXEXO, 1, -9
XOXOEXOXO, -1, -9
XOXOXXOXO, 1, 0
XEEEEEEEE, 1, -9
XEOEEEEEE, -1, -9
XEOEXEEEE, 1, -9
XEOEXEEEO, -1, -9
XEOXXEEEO, 1, -9
XEOXXOEEO, -1, -1
EEEEEEEOE, -1, -9
EEEEXEEOE, 1, -9
EEEEXEEOO, -1, -9
EEEEXEXOO, 1, -9
EOEEXEXOO, -1, -9
EOXEXEXOO, 1, 1
EEXEEEEEE, 1, -9
EOXEEEEEE, -1, -9
EOXEEEEXE, 1, -9
EOXEEOEXE, -1, -9
EOXEEOEXX, 1, -9
EOXEEOOXX, -1, -9
EOXEXOOXX, 1, -9
OOXEXOOXX, -1, -9
OOXXXOOXX, 1, 0
XEEEEEEEE, 1, -9
XEEEEEEEO, -1, -9
XXEEEEEEO, 1, -9
XXOEEEEEO, -1, -9
XXOXEEEEO, 1, -9
XXOXEOEEO, -1, -1
EEOEEEEEE, -1, -9
EEOEEEEEX, 1, -9
EEOEOEEEX, -1, -9
EEOXOEEEX, 1, -9
EEOXOEOEX, -1, -1
EEOEEEEEE, -1, -9
EEOEEEEEX, 1, -9
EEOEOEEEX, -1, -9
EXOEOEEEX, 1, -9
EXOEOEOEX, -1, -1
EOEEEEEEE, -1, -9
EOEXEEEEE, 1, -9
EOEXOEEEE, -1, -9
EOEXOEEXE, 1, -9
EOEXOEEXO, -1, -9
EOEXOEXXO, 1, -9
OOEXOEXXO, -1, -1
EEEEEEEEO, -1, -9
EEEXEEEEO, 1, -9
EOEXEEEEO, -1, -9
EOEXXEEEO, 1, -9
EOEXXEOEO, -1, -9
EOEXXXOEO, 1, 1
EEEXEEEEE, 1, -9
EEOXEEEEE, -1, -9
EEOXEEXEE, 1, -9
EEOXEEXOE, -1, -9
XEOXEEXOE, 1, 1
EXEEEEEEE, 1, -9
EXEEEEEEO, -1, -9
XXEEEEEEO, 1, -9
XXEEEOEEO, -1, -9
XXXEEOEEO, 1, 1
EXEEEEEEE, 1, -9
EXEOEEEEE, -1, -9
EXEOXEEEE, 1, -9
EXEOXEEOE, -1, -9
EXXOXEEOE, 1, -9
OXXOXEEOE, -1, -9
OXXOXEXOE, 1, 1
EEEEEEEXE, 1, -9
EEOEEEEXE, -1, -9
EEOEEEXXE, 1, -9
OEOEEEXXE, -1, -9
OEOEEEXXX, 1, 1
EEEEEEEXE, 1, -9
EEEEEOEXE, -1, -9
EEEEEOEXX, 1, -9
OEEEEOEXX, -1, -9
OEEEEOXXX, 1, 1
EEEXEEEEE, 1, -9
EEEXEOEEE, -1, -9
EEXXEOEEE, 1, -9
EEXXEOOEE, -1, -9
XEXXEOOEE, 1, -9
XEXXOOOEE, -1, -9
XXXXOOOEE, 1, 1
EEEEXEEEE, 1, -9
EEEEXEOEE, -1, -9
EEEEXEOEX, 1, -9
OEEEXEOEX, -1, -9
OEEEXEOXX, 1, -9
OEEOXEOXX, -1, -1
OEEEEEEEE, -1, -9
OEEEXEEEE, 1, -9
OEEEXEEOE, -1, -9
OEEEXEXOE, 1, -9
OOEEXEXOE, -1, -9
OOXEXEXOE, 1, 1
EEEEEEXEE, 1, -9
EEEEEEXEO, -1, -9
XEEEEEXEO, 1, -9
XOEEEEXEO, -1, -9
XOEXEEXEO, 1, 1
EEEEXEEEE, 1, -9
EOEEXEEEE, -1, -9
EOEEXEXEE, 1, -9
EOEEXEXEO, -1, -9
EOXEXEXEO, 1, 1
EXEEEEEEE, 1, -9
EXEOEEEEE, -1, -9
EXEOEXEEE, 1, -9
EXEOOXEEE, -1, -9
EXEOOXEXE, 1, -9
EXOOOXEXE, -1, -9
EXOOOXEXX, 1, -9
EXOOOXOXX, -1, -1
EEEOEEEEE, -1, -9
EEXOEEEEE, 1, -9
EEXOEEOEE, -1, -9
EXXOEEOEE, 1, -9
OXXOEEOEE, -1, -1
EEEEOEEEE, -1, -9
EXEEOEEEE, 1, -9
EXEEOEEOE, -1, -9
EXEEOXEOE, 1, -9
EXEEOXOOE, -1, -9
EXXEOXOOE, 1, -9
EXXEOXOOO, -1, -1
EEEEOEEEE, -1, -9
EXEEOEEEE, 1, -9
EXEEOOEEE, -1, -9
XXEEOOEEE, 1, -9
XXEOOOEEE, -1, -1
EEEEEEOEE, -1, -9
EEEEEEOXE, 1, -9
OEEEEEOXE, -1, -9
OXEEEEOXE, 1, -9
OXEOEEOXE, -1, -1
EOEEEEEEE, -1, -9
EOEEEEXEE, 1, -9
EOOEEEXEE, -1, -9
EOOEXEXEE, 1, -9
OOOEXEXEE, -1, -1
EEEOEEEEE, -1, -9
XEEOEEEEE, 1, -9
XEEOEOEEE, -1, -9
XEEOEOEXE, 1, -9
XEEOOOEXE, -1, -1
EEOEEEEEE, -1, -9
EEOEEEEXE, 1, -9
OEOEEEEXE, -1, -9
OEOEEXEXE, 1, -9
OOOEEXEXE, -1, -1
EEEEEEEOE, -1, -9
XEEEEEEOE, 1, -9
XEEEEEEOO, -1, -9
XXEEEEEOO, 1, -9
XXEEEEOOO, -1, -1
EEEEOEEEE, -1, -9
EEEEOXEEE, 1, -9
